clinician_id,license_role,employment_type
0FE8965D05C37706A5BFBEC88629ED68,Psychologist,Independent Contractor
0FEDD727D2486FD80AC3C54659769E75,Licensed Counselor,Part Time
0FF049C5D2FC3F259BF8C545FB5AC4B6,Psychologist,Independent Contractor
102388DA8EFF67B77804BFF45346878E,Psychologist,Independent Contractor
10F4D3EF27BD58994C3D617E4C66B063,Psychologist,Independent Contractor
113C28E70759501BBB85C994A9243542,Psychologist,Part Time
12231EEC7A6D29675B3A08C634F5774C,Psychologist,Independent Contractor
12478436CF21A110C931CF609C26571E,Clinical Social Worker,Part Time
12AF7FCAD8F98F75AE1B1B0C11C3B319,Clinical Social Worker,Part Time
13139264220746C6785367CE88EC892C,Psychologist,Independent Contractor
13AD5D778BFBBD9F94F949CA7FD82276,Psychologist,Independent Contractor
13AE5FC8CBFEE60CFB370FB58AA11E4F,Psychologist,Independent Contractor
14240F6876511DE6D497C1D957EB2EC7,Licensed Counselor,Full Time
142A348F1E611D54B821AC0886BE2B87,Clinical Social Worker,Independent Contractor
14B0BA5CD1546BECD7D30ADB50DBCA52,Psychologist,Full Time
14DE2EE161D5C17C161790F9FC914828,Clinical Social Worker,Full Time
14F1CB396C53CECB329EA3F2D5835203,Psychologist,Independent Contractor
158C42D2B315FDE85781AE0620D719F8,Psychologist,Independent Contractor
158EE37478417E8894D7129197640F8D,Clinical Social Worker,Full Time
15F7DFFC363187091ECAE001A5E4070B,Clinical Social Worker,Independent Contractor
16170ADFD4D426ECE3741DA206D0C132,Licensed Counselor,Full Time
17962D09191AD1C7EBAA4D3E3A7E6D7B,Clinical Social Worker,Full Time
17BBDF3BC1093028C7895C8B3AD9A9A5,Psychologist,Independent Contractor
17FD28376DDB76AEF96389BF99878B1C,Clinical Social Worker,Full Time
183E590A22C7C3994259863457C034ED,Clinical Social Worker,Full Time
194EDA216C6EF231EF008ED9ACFB3083,Psychologist,Independent Contractor
1A0EC4118E0989978C0C782BF0EB9B0F,Psychologist,Full Time
1AC0A424B7DFA5CF72AADC6BD1CD946B,Psychologist,Part Time
1B3CFF79FA6EFB5016A000CE2B9B721B,Psychologist,Independent Contractor
1C15EFA367296F03F7C19075F8CA7DD8,Psychologist,Independent Contractor
1CABB5EC0363838A1551F7235765FF20,Licensed Counselor,Independent Contractor
1D13F4C3D8C0B7FBFC6FC4EA39E99D41,Psychologist,Full Time
1D40A8E713C4407E54E3B793150CEE55,Psychologist,Independent Contractor
1E219B304404A0B9C541253A3C371915,Psychologist,Full Time
1E8C50BC00F6F356D1715DBB42B4A434,Psychologist,Full Time
1F74676ED3380380205239E70EDE402D,Clinical Social Worker,Full Time
20A2A5032521C53526ADE259533055FA,Psychologist,Independent Contractor
20A77025367212597C650548B4BAA213,Psychologist,Independent Contractor
20D1F268BE5D69F9585221064490F403,Psychologist,Independent Contractor
20D31656AD01D7E49E2A1756A5404B45,Clinical Social Worker,Full Time
2140C98130912536C2A0BDAB0B6E0129,Clinical Social Worker,Independent Contractor
2150C11937DD97D6FDCC99791019658D,Psychologist,Independent Contractor
2181CB013ABB45464774B8FE61253E7B,Psychologist,Full Time
21D574ACA47B02A0C058D16A6C860F20,Clinical Social Worker,Independent Contractor
21E7DCFCFA89F8550E31237B1FE3FA6F,Clinical Social Worker,Independent Contractor
2208D027A8A6778580F5B3717A0A7F83,Psychologist,Independent Contractor
23398D50B2C69D8F11766F37D2F822FF,Psychologist,Independent Contractor
23CE09EC40B314C9FBCF5BDF84188F3D,Clinical Social Worker,Part Time
245135A69C7CB1A120CF4A71D0BE5622,Psychologist,Independent Contractor
2474A3FAA9C5ED5C0D456CFBC86FFF78,Psychologist,Independent Contractor
247C9F23268FB32946876FCA858B0D1D,Psychologist,Independent Contractor
2489D20E43705F05985941730B787004,Clinical Social Worker,Part Time
253D2F23093718032A261CACF0D35BF8,Clinical Social Worker,Independent Contractor
2560D7D479D2A072BA6F590D8D45A3F8,Licensed Counselor,Independent Contractor
25E6D961AC6178D9C9B862DB3B3E3A9E,Clinical Social Worker,Independent Contractor
